Question,Answer,Category
"What is the capital of France?","Paris","Geography"
"Who painted the Mona Lisa?","Leonardo da Vinci","Art"
"What is the largest planet in our solar system?","Jupiter","Science"
"In which year did World War II end?","1945","History"
"What is the chemical symbol for gold?","Au","Science"
"What is the tallest mountain in the world?","Mount Everest","Geography"
"Who wrote 'Romeo and Juliet'?","William Shakespeare","Literature"
"What is the chemical formula for water?","H2O","Science"
"Which country has the largest population?","China","Geography"
"Who was the first person to step on the moon?","Neil Armstrong","Science"
